hotel_name,district,hotel_type,url,data_scraped_time,latitude,longitude,original_price,discount_price_per_night,discount_rate,room_type,max_occupancy,is_free_cancellable,breakfast,parking,pool,spa,rating,num_reviews,weighted_rating,review_text,review_date,review_rating,review_language,cleaned_text,sentiment_score,sentiment_label,translated_text,sentiment_10,hybrid_score
Lara Barut Collection,Muratpaşa,Resort,https://tr.hotels.com/ho233845/lara-barut-collection-all-inclusive-antalya-turkiye/?chkin=2026-06-06&chkout=2026-06-07&x_pwa=1&rfrr=HSR&pwa_ts=1772702742797&referrerUrl=aHR0cHM6Ly90ci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=6319571&destination=D%C3%B6%C5%9Femealt%C4%B1%2C+Antalya+%28b%C3%B6lge%29%2C+T%C3%BCrkiye&destType=MARKET&neighborhoodId=6054878&latLong=37.113007%2C30.570645&hotelName=lara+barut&sort=RECOMMENDED&top_dp=58074&top_cur=TRY&userIntent=&selectedRoomType=315547286&selectedRatePlan=388954333&expediaPropertyId=1207007&searchId=d309d478-a5c9-4861-843e-5216e5c74894,2025-10-11,36.8581943,30.8562473,73910,47579,0.356,Deluxe,3,True,True,True,True,True,9.6,1004,9.494821324,"""Great stay""",2025-08-29,10.0,EN,great stay,0.6249,Positive,,8.1245,9.35735
Lara Barut Collection,Muratpaşa,Resort,https://tr.hotels.com/ho233845/lara-barut-collection-all-inclusive-antalya-turkiye/?chkin=2026-06-06&chkout=2026-06-07&x_pwa=1&rfrr=HSR&pwa_ts=1772702742797&referrerUrl=aHR0cHM6Ly90ci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=6319571&destination=D%C3%B6%C5%9Femealt%C4%B1%2C+Antalya+%28b%C3%B6lge%29%2C+T%C3%BCrkiye&destType=MARKET&neighborhoodId=6054878&latLong=37.113007%2C30.570645&hotelName=lara+barut&sort=RECOMMENDED&top_dp=58074&top_cur=TRY&userIntent=&selectedRoomType=315547286&selectedRatePlan=388954333&expediaPropertyId=1207007&searchId=d309d478-a5c9-4861-843e-5216e5c74894,2025-10-11,36.8581943,30.8562473,73910,47579,0.356,Deluxe,3,True,True,True,True,True,9.6,1004,9.494821324,"""Beautiful resort, clean and spacious. Food was excellent, services were outstanding, right on the beach. Shows were beautiful, polls were clean and never crowded. Very family friendly, waterpark was excellent for kids. We plan to go back and to recommend this resort to anybody, especially families.""",2025-08-22,10.0,EN,beautiful resort clean spacious food excellent service outstanding right beach show beautiful poll clean never crowded family friendly waterpark excellent kid plan go back recommend resort anybody especially family,0.9763,Positive,,9.881499999999999,9.88445
Lara Barut Collection,Muratpaşa,Resort,https://tr.hotels.com/ho233845/lara-barut-collection-all-inclusive-antalya-turkiye/?chkin=2026-06-06&chkout=2026-06-07&x_pwa=1&rfrr=HSR&pwa_ts=1772702742797&referrerUrl=aHR0cHM6Ly90ci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=6319571&destination=D%C3%B6%C5%9Femealt%C4%B1%2C+Antalya+%28b%C3%B6lge%29%2C+T%C3%BCrkiye&destType=MARKET&neighborhoodId=6054878&latLong=37.113007%2C30.570645&hotelName=lara+barut&sort=RECOMMENDED&top_dp=58074&top_cur=TRY&userIntent=&selectedRoomType=315547286&selectedRatePlan=388954333&expediaPropertyId=1207007&searchId=d309d478-a5c9-4861-843e-5216e5c74894,2025-10-11,36.8581943,30.8562473,73910,47579,0.356,Deluxe,3,True,True,True,True,True,9.6,1004,9.494821324,"""Lovely family hotel""",2025-08-17,10.0,EN,lovely family hotel,0.5859,Positive,,7.929500000000001,9.29885
Lara Barut Collection,Muratpaşa,Resort,https://tr.hotels.com/ho233845/lara-barut-collection-all-inclusive-antalya-turkiye/?chkin=2026-06-06&chkout=2026-06-07&x_pwa=1&rfrr=HSR&pwa_ts=1772702742797&referrerUrl=aHR0cHM6Ly90ci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=6319571&destination=D%C3%B6%C5%9Femealt%C4%B1%2C+Antalya+%28b%C3%B6lge%29%2C+T%C3%BCrkiye&destType=MARKET&neighborhoodId=6054878&latLong=37.113007%2C30.570645&hotelName=lara+barut&sort=RECOMMENDED&top_dp=58074&top_cur=TRY&userIntent=&selectedRoomType=315547286&selectedRatePlan=388954333&expediaPropertyId=1207007&searchId=d309d478-a5c9-4861-843e-5216e5c74894,2025-10-11,36.8581943,30.8562473,73910,47579,0.356,Deluxe,3,True,True,True,True,True,9.6,1004,9.494821324,"""The Lara Barut resort is pure perfection — a playground of endless amenities and culinary delights from every corner of the globe to tempt every palate. The staff are highly motivated, warm and welcoming. Effortlessly professional, they anticipate your needs before you even think of them. A cut above Five-star for sure!""",2025-08-17,10.0,EN,lara barut resort pure perfection playground endless amenity culinary delight every corner globe tempt every palate staff highly motivated warm welcoming effortlessly professional anticipate need even think cut fivestar sure,0.9471,Positive,,9.7355,9.84065
Lara Barut Collection,Muratpaşa,Resort,https://tr.hotels.com/ho233845/lara-barut-collection-all-inclusive-antalya-turkiye/?chkin=2026-06-06&chkout=2026-06-07&x_pwa=1&rfrr=HSR&pwa_ts=1772702742797&referrerUrl=aHR0cHM6Ly90ci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=6319571&destination=D%C3%B6%C5%9Femealt%C4%B1%2C+Antalya+%28b%C3%B6lge%29%2C+T%C3%BCrkiye&destType=MARKET&neighborhoodId=6054878&latLong=37.113007%2C30.570645&hotelName=lara+barut&sort=RECOMMENDED&top_dp=58074&top_cur=TRY&userIntent=&selectedRoomType=315547286&selectedRatePlan=388954333&expediaPropertyId=1207007&searchId=d309d478-a5c9-4861-843e-5216e5c74894,2025-10-11,36.8581943,30.8562473,73910,47579,0.356,Deluxe,3,True,True,True,True,True,9.6,1004,9.494821324,"""Very enjoyable and family orientated""",2025-08-15,10.0,EN,enjoyable family orientated,0.4404,Positive,,7.202,9.0806
Lara Barut Collection,Muratpaşa,Resort,https://tr.hotels.com/ho233845/lara-barut-collection-all-inclusive-antalya-turkiye/?chkin=2026-06-06&chkout=2026-06-07&x_pwa=1&rfrr=HSR&pwa_ts=1772702742797&referrerUrl=aHR0cHM6Ly90ci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=6319571&destination=D%C3%B6%C5%9Femealt%C4%B1%2C+Antalya+%28b%C3%B6lge%29%2C+T%C3%BCrkiye&destType=MARKET&neighborhoodId=6054878&latLong=37.113007%2C30.570645&hotelName=lara+barut&sort=RECOMMENDED&top_dp=58074&top_cur=TRY&userIntent=&selectedRoomType=315547286&selectedRatePlan=388954333&expediaPropertyId=1207007&searchId=d309d478-a5c9-4861-843e-5216e5c74894,2025-10-11,36.8581943,30.8562473,73910,47579,0.356,Deluxe,3,True,True,True,True,True,9.6,1004,9.494821324,"""Super friendly staff, very clean and luxurious property! Would highly recommend and will be coming back myself too!""",2025-08-14,10.0,EN,super friendly staff clean luxurious property would highly recommend coming back,0.9117,Positive,,9.5585,9.78755
Lara Barut Collection,Muratpaşa,Resort,https://tr.hotels.com/ho233845/lara-barut-collection-all-inclusive-antalya-turkiye/?chkin=2026-06-06&chkout=2026-06-07&x_pwa=1&rfrr=HSR&pwa_ts=1772702742797&referrerUrl=aHR0cHM6Ly90ci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=6319571&destination=D%C3%B6%C5%9Femealt%C4%B1%2C+Antalya+%28b%C3%B6lge%29%2C+T%C3%BCrkiye&destType=MARKET&neighborhoodId=6054878&latLong=37.113007%2C30.570645&hotelName=lara+barut&sort=RECOMMENDED&top_dp=58074&top_cur=TRY&userIntent=&selectedRoomType=315547286&selectedRatePlan=388954333&expediaPropertyId=1207007&searchId=d309d478-a5c9-4861-843e-5216e5c74894,2025-10-11,36.8581943,30.8562473,73910,47579,0.356,Deluxe,3,True,True,True,True,True,9.6,1004,9.494821324,"""Excellent food - some of the best we have ever had. I highly recommend non-smoking pool sections for non-smokers""",2025-08-12,10.0,EN,excellent food best ever highly recommend nonsmoking pool section nonsmoker,0.8932,Positive,,9.466,9.7598
Lara Barut Collection,Muratpaşa,Resort,https://tr.hotels.com/ho233845/lara-barut-collection-all-inclusive-antalya-turkiye/?chkin=2026-06-06&chkout=2026-06-07&x_pwa=1&rfrr=HSR&pwa_ts=1772702742797&referrerUrl=aHR0cHM6Ly90ci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=6319571&destination=D%C3%B6%C5%9Femealt%C4%B1%2C+Antalya+%28b%C3%B6lge%29%2C+T%C3%BCrkiye&destType=MARKET&neighborhoodId=6054878&latLong=37.113007%2C30.570645&hotelName=lara+barut&sort=RECOMMENDED&top_dp=58074&top_cur=TRY&userIntent=&selectedRoomType=315547286&selectedRatePlan=388954333&expediaPropertyId=1207007&searchId=d309d478-a5c9-4861-843e-5216e5c74894,2025-10-11,36.8581943,30.8562473,73910,47579,0.356,Deluxe,3,True,True,True,True,True,9.6,1004,9.494821324,"""Every thing was good""",2025-08-12,10.0,EN,every thing good,0.4404,Positive,,7.202,9.0806
Lara Barut Collection,Muratpaşa,Resort,https://tr.hotels.com/ho233845/lara-barut-collection-all-inclusive-antalya-turkiye/?chkin=2026-06-06&chkout=2026-06-07&x_pwa=1&rfrr=HSR&pwa_ts=1772702742797&referrerUrl=aHR0cHM6Ly90ci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=6319571&destination=D%C3%B6%C5%9Femealt%C4%B1%2C+Antalya+%28b%C3%B6lge%29%2C+T%C3%BCrkiye&destType=MARKET&neighborhoodId=6054878&latLong=37.113007%2C30.570645&hotelName=lara+barut&sort=RECOMMENDED&top_dp=58074&top_cur=TRY&userIntent=&selectedRoomType=315547286&selectedRatePlan=388954333&expediaPropertyId=1207007&searchId=d309d478-a5c9-4861-843e-5216e5c74894,2025-10-11,36.8581943,30.8562473,73910,47579,0.356,Deluxe,3,True,True,True,True,True,9.6,1004,9.494821324,"""Wonderful location and the amenities were second to none. Great room, the hotel is super clean everywhere, fabulous pool, superb beach and an amazing animation team, including Martin, Harley, Amigo, Aykut and Sara to mention a few. Activities planned really well throughout the day allowing time away from just lying on the beach - games, darts, archery, bools, yoga, padel tennis, pool and sea gym and more! We will definitely come back.""",2025-08-10,10.0,EN,wonderful location amenity second none great room hotel super clean everywhere fabulous pool superb beach amazing animation team including martin harley amigo aykut sara mention activity planned really well throughout day allowing time away lying beach game dart archery bools yoga padel tennis pool sea gym definitely come back,0.9638,Positive,,9.818999999999999,9.8657
Lara Barut Collection,Muratpaşa,Resort,https://tr.hotels.com/ho233845/lara-barut-collection-all-inclusive-antalya-turkiye/?chkin=2026-06-06&chkout=2026-06-07&x_pwa=1&rfrr=HSR&pwa_ts=1772702742797&referrerUrl=aHR0cHM6Ly90ci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=6319571&destination=D%C3%B6%C5%9Femealt%C4%B1%2C+Antalya+%28b%C3%B6lge%29%2C+T%C3%BCrkiye&destType=MARKET&neighborhoodId=6054878&latLong=37.113007%2C30.570645&hotelName=lara+barut&sort=RECOMMENDED&top_dp=58074&top_cur=TRY&userIntent=&selectedRoomType=315547286&selectedRatePlan=388954333&expediaPropertyId=1207007&searchId=d309d478-a5c9-4861-843e-5216e5c74894,2025-10-11,36.8581943,30.8562473,73910,47579,0.356,Deluxe,3,True,True,True,True,True,9.6,1004,9.494821324,"""The food is top at this hotel, the buffet always has varieties at dinner and lunch, you cannot get bored of the options. Also the restaurants that are distributed around the resort are really good and convenient. The room service is fast and very responsive when you call for specific things like robes and water bottles. The pool activities are really fun and entertaining. Air conditioning is awesome and that was noted especially at the 40 degrees days. I would definitely come back and book again!""",2025-08-10,10.0,EN,food top hotel buffet always variety dinner lunch get bored option also restaurant distributed around resort really good convenient room service fast responsive call specific thing like robe water bottle pool activity really fun entertaining air conditioning awesome noted especially degree day would definitely come back book,0.966,Positive,,9.83,9.869
